,Parabacteroides distasonis ATCC 8503_0.01.pkl,Bifidobacterium longum strain DSM 20219_0.01.pkl,Ruminococcus gnavus ATCC 29149_0.01.pkl
B. longum subsp. longum_gapfilled_30,,"{'EX_cpd00224_e': 0.009059187530036775, 'EX_cpd00027_e': 0.009059187529905751, 'EX_cpd01171_e': 0.009059187529891976, 'EX_cpd00154_e': 0.009059187529891976, 'EX_cpd00309_e': 0.009059187529957454, 'EX_cpd00108_e': 0.00905918752989195, 'EX_cpd00039_e': 0.00905918752989195, 'EX_cpd00011_e': 0.00905918752989195, 'EX_cpd00322_e': 0.00905918752989195, 'EX_cpd00111_e': 0.00905918752989195, 'EX_cpd00028_e': 0.00905918752989195, 'EX_cpd00066_e': 0.00905918752989195, 'EX_cpd01188_e': 0.00905918752989195, 'EX_cpd00357_e': 0.009059187530026134, 'EX_cpd00136_e': 0.00905918752989195, 'EX_cpd03847_e': 0.00905918752989195, 'EX_cpd01080_e': 0.00905918752989195, 'EX_cpd00010_e': 0.00905918752989195, 'EX_cpd00264_e': 0.00905918752989195, 'EX_cpd11606_e': 0.00905918752989195, 'EX_cpd00069_e': 0.00905918752989195, 'EX_cpd00060_e': 0.00905918752989195, 'EX_cpd00305_e': 0.00905918752989195, 'EX_cpd00129_e': 0.00905918752989195}",
B. longum subsp. longum_gapfilled_31,,"{'EX_cpd00224_e': 0.00903894356347135, 'EX_cpd00027_e': 0.009038943562706894, 'EX_cpd01171_e': 0.009038943562794487, 'EX_cpd00154_e': 0.009038943562794487, 'EX_cpd00309_e': 0.009038943562794487, 'EX_cpd00108_e': 0.009038943562802599, 'EX_cpd00039_e': 0.009038943562802599, 'EX_cpd00011_e': 0.009038943562802599, 'EX_cpd00322_e': 0.009038943562802599, 'EX_cpd00111_e': 0.009038943562802599, 'EX_cpd00028_e': 0.009038943562802599, 'EX_cpd00066_e': 0.009038943562802599, 'EX_cpd01188_e': 0.009038943562802599, 'EX_cpd00357_e': 0.00903894356274266, 'EX_cpd00136_e': 0.009038943562802599, 'EX_cpd03847_e': 0.009038943562802599, 'EX_cpd01080_e': 0.009038943562802599, 'EX_cpd00010_e': 0.009038943562802599, 'EX_cpd00264_e': 0.009038943562802599, 'EX_cpd11606_e': 0.009038943562802599, 'EX_cpd00069_e': 0.009038943562802599, 'EX_cpd00060_e': 0.009038943562802599, 'EX_cpd00305_e': 0.009038943562802599, 'EX_cpd00129_e': 0.009038943562802599}",
B. longum subsp. longum_gapfilled_32,,"{'EX_cpd00224_e': 0.009129668755084357, 'EX_cpd00027_e': 0.00912966875483621, 'EX_cpd01171_e': 0.00912966875482684, 'EX_cpd00154_e': 0.00912966875482684, 'EX_cpd00309_e': 0.00912966875483227, 'EX_cpd00108_e': 0.00912966875482684, 'EX_cpd00039_e': 0.00912966875482684, 'EX_cpd00011_e': 0.00912966875482684, 'EX_cpd00322_e': 0.00912966875482684, 'EX_cpd00111_e': 0.00912966875482684, 'EX_cpd00028_e': 0.00912966875482684, 'EX_cpd00066_e': 0.00912966875482684, 'EX_cpd01188_e': 0.00912966875482684, 'EX_cpd00357_e': 0.009129668754878266, 'EX_cpd00136_e': 0.00912966875482684, 'EX_cpd03847_e': 0.00912966875482684, 'EX_cpd01080_e': 0.00912966875482684, 'EX_cpd00010_e': 0.00912966875482684, 'EX_cpd00264_e': 0.00912966875482684, 'EX_cpd11606_e': 0.00912966875482684, 'EX_cpd00069_e': 0.00912966875482684, 'EX_cpd00060_e': 0.00912966875482684, 'EX_cpd00305_e': 0.00912966875482684, 'EX_cpd00129_e': 0.00912966875482684}",
B. longum subsp. longum_gapfilled_33,,"{'EX_cpd00224_e': 0.009520735804174943, 'EX_cpd00027_e': 0.009520735804300597, 'EX_cpd01171_e': 0.009520735804296465, 'EX_cpd00154_e': 0.009520735804296465, 'EX_cpd00309_e': 0.009520735804344066, 'EX_cpd00108_e': 0.009520735804296467, 'EX_cpd00039_e': 0.009520735804296467, 'EX_cpd00011_e': 0.009520735804296467, 'EX_cpd00322_e': 0.009520735804296467, 'EX_cpd00111_e': 0.009520735804296467, 'EX_cpd00028_e': 0.009520735804296467, 'EX_cpd00066_e': 0.009520735804296467, 'EX_cpd01188_e': 0.009520735804296467, 'EX_cpd00357_e': 0.00952073580423616, 'EX_cpd00136_e': 0.009520735804296467, 'EX_cpd03847_e': 0.009520735804296467, 'EX_cpd01080_e': 0.009520735804296467, 'EX_cpd00010_e': 0.009520735804296467, 'EX_cpd00264_e': 0.009520735804296467, 'EX_cpd11606_e': 0.009520735804296467, 'EX_cpd00069_e': 0.009520735804296467, 'EX_cpd00060_e': 0.009520735804296467, 'EX_cpd00305_e': 0.009520735804296467, 'EX_cpd00129_e': 0.009520735804296467}",
B. longum subsp. longum_gapfilled_34,,"{'EX_cpd00224_e': 0.009129668754937408, 'EX_cpd00027_e': 0.009129668754878207, 'EX_cpd01171_e': 0.009129668754846089, 'EX_cpd00154_e': 0.009129668754846089, 'EX_cpd00309_e': 0.009129668754846089, 'EX_cpd00108_e': 0.009129668754846089, 'EX_cpd00039_e': 0.009129668754846089, 'EX_cpd00011_e': 0.009129668754846089, 'EX_cpd00322_e': 0.009129668754846089, 'EX_cpd00111_e': 0.009129668754846089, 'EX_cpd00028_e': 0.009129668754846089, 'EX_cpd00066_e': 0.009129668754846089, 'EX_cpd01188_e': 0.009129668754846089, 'EX_cpd00357_e': 0.009129668754937498, 'EX_cpd00136_e': 0.009129668754846089, 'EX_cpd03847_e': 0.009129668754846089, 'EX_cpd01080_e': 0.009129668754846089, 'EX_cpd00010_e': 0.009129668754846089, 'EX_cpd00264_e': 0.009129668754846089, 'EX_cpd11606_e': 0.009129668754846089, 'EX_cpd00069_e': 0.009129668754846089, 'EX_cpd00060_e': 0.009129668754846089, 'EX_cpd00305_e': 0.009129668754846089, 'EX_cpd00129_e': 0.009129668754846089}",
B. longum subsp. longum_gapfilled_35,,"{'EX_cpd00224_e': 0.010039897096805512, 'EX_cpd00027_e': 0.010039897096667236, 'EX_cpd01171_e': 0.010039897096667236, 'EX_cpd00154_e': 0.010039897096667236, 'EX_cpd00309_e': 0.010039897096659582, 'EX_cpd00108_e': 0.010039897096667236, 'EX_cpd00039_e': 0.010039897096667236, 'EX_cpd00011_e': 0.010039897096667236, 'EX_cpd00322_e': 0.010039897096667236, 'EX_cpd00111_e': 0.010039897096667236, 'EX_cpd00028_e': 0.010039897096667236, 'EX_cpd00066_e': 0.010039897096667236, 'EX_cpd01188_e': 0.010039897096667236, 'EX_cpd00357_e': 0.010039897096667236, 'EX_cpd00136_e': 0.010039897096667236, 'EX_cpd03847_e': 0.010039897096667236, 'EX_cpd01080_e': 0.010039897096667236, 'EX_cpd00010_e': 0.010039897096667236, 'EX_cpd00264_e': 0.010039897096667236, 'EX_cpd11606_e': 0.010039897096667236, 'EX_cpd00069_e': 0.010039897096667236, 'EX_cpd00060_e': 0.010039897096667236, 'EX_cpd00305_e': 0.010039897096667236, 'EX_cpd00129_e': 0.010039897096667236}",
B. longum subsp. longum_gapfilled_36,,"{'EX_cpd00224_e': 0.009520735804338943, 'EX_cpd00027_e': 0.0095207358044584, 'EX_cpd01171_e': 0.009520735804463335, 'EX_cpd00154_e': 0.009520735804463335, 'EX_cpd00309_e': 0.009520735804451784, 'EX_cpd00108_e': 0.009520735804451784, 'EX_cpd00039_e': 0.009520735804451784, 'EX_cpd00011_e': 0.009520735804451784, 'EX_cpd00322_e': 0.009520735804451784, 'EX_cpd00111_e': 0.009520735804451784, 'EX_cpd00028_e': 0.009520735804451784, 'EX_cpd00066_e': 0.009520735804451784, 'EX_cpd01188_e': 0.009520735804451784, 'EX_cpd00357_e': 0.009520735804338818, 'EX_cpd00136_e': 0.009520735804451784, 'EX_cpd03847_e': 0.009520735804451784, 'EX_cpd01080_e': 0.009520735804451784, 'EX_cpd00010_e': 0.009520735804451784, 'EX_cpd00264_e': 0.009520735804451784, 'EX_cpd11606_e': 0.009520735804451784, 'EX_cpd00069_e': 0.009520735804451784, 'EX_cpd00060_e': 0.009520735804451784, 'EX_cpd00305_e': 0.009520735804451784, 'EX_cpd00129_e': 0.009520735804451784}",
B. longum subsp. longum_gapfilled_37,,"{'EX_cpd00224_e': 0.00913685715353613, 'EX_cpd00027_e': 0.009136857153567867, 'EX_cpd01171_e': 0.009136857153538423, 'EX_cpd00154_e': 0.009136857153538423, 'EX_cpd00309_e': 0.009136857153558052, 'EX_cpd00108_e': 0.009136857153538423, 'EX_cpd00039_e': 0.009136857153538423, 'EX_cpd00011_e': 0.009136857153538423, 'EX_cpd00322_e': 0.009136857153538423, 'EX_cpd00111_e': 0.009136857153538423, 'EX_cpd00028_e': 0.009136857153538423, 'EX_cpd00066_e': 0.009136857153538423, 'EX_cpd01188_e': 0.009136857153538423, 'EX_cpd00357_e': 0.009136857153497616, 'EX_cpd00136_e': 0.009136857153538423, 'EX_cpd03847_e': 0.009136857153538423, 'EX_cpd01080_e': 0.009136857153538423, 'EX_cpd00010_e': 0.009136857153538423, 'EX_cpd00264_e': 0.009136857153538423, 'EX_cpd11606_e': 0.009136857153538423, 'EX_cpd00069_e': 0.009136857153538423, 'EX_cpd00060_e': 0.009136857153538423, 'EX_cpd00305_e': 0.009136857153538423, 'EX_cpd00129_e': 0.009136857153538423}",
B. longum subsp. longum_gapfilled_38,,"{'EX_cpd00224_e': 0.009116264966084418, 'EX_cpd00027_e': 0.009116264966598592, 'EX_cpd01171_e': 0.009116264966537179, 'EX_cpd00154_e': 0.009116264966537179, 'EX_cpd00309_e': 0.009116264966529694, 'EX_cpd00108_e': 0.009116264966537179, 'EX_cpd00039_e': 0.009116264966537179, 'EX_cpd00011_e': 0.009116264966537179, 'EX_cpd00322_e': 0.009116264966537179, 'EX_cpd00111_e': 0.009116264966537179, 'EX_cpd00028_e': 0.009116264966537179, 'EX_cpd00066_e': 0.009116264966537179, 'EX_cpd01188_e': 0.009116264966537179, 'EX_cpd00357_e': 0.009116264966550366, 'EX_cpd00136_e': 0.009116264966537179, 'EX_cpd03847_e': 0.009116264966537179, 'EX_cpd01080_e': 0.009116264966537179, 'EX_cpd00010_e': 0.009116264966537179, 'EX_cpd00264_e': 0.009116264966537179, 'EX_cpd11606_e': 0.009116264966537179, 'EX_cpd00069_e': 0.009116264966537179, 'EX_cpd00060_e': 0.009116264966537179, 'EX_cpd00305_e': 0.009116264966537179, 'EX_cpd00129_e': 0.009116264966537179}",
B. longum subsp. longum_gapfilled_39,,"{'EX_cpd00224_e': 0.009109108920181542, 'EX_cpd00027_e': 0.009109108920326438, 'EX_cpd01171_e': 0.009109108920326408, 'EX_cpd00154_e': 0.009109108920326408, 'EX_cpd00309_e': 0.009109108920326408, 'EX_cpd00108_e': 0.009109108920326408, 'EX_cpd00039_e': 0.009109108920326408, 'EX_cpd00011_e': 0.009109108920326408, 'EX_cpd00322_e': 0.009109108920326408, 'EX_cpd00111_e': 0.009109108920326408, 'EX_cpd00028_e': 0.009109108920326408, 'EX_cpd00066_e': 0.009109108920326408, 'EX_cpd01188_e': 0.009109108920326408, 'EX_cpd00357_e': 0.009109108920181535, 'EX_cpd00136_e': 0.009109108920326408, 'EX_cpd03847_e': 0.009109108920326408, 'EX_cpd01080_e': 0.009109108920326408, 'EX_cpd00010_e': 0.009109108920326408, 'EX_cpd00264_e': 0.009109108920326408, 'EX_cpd11606_e': 0.009109108920326408, 'EX_cpd00069_e': 0.009109108920326408, 'EX_cpd00060_e': 0.009109108920326408, 'EX_cpd00305_e': 0.009109108920326408, 'EX_cpd00129_e': 0.009109108920326408}",
B. longum subsp. longum_gapfilled_40,,"{'EX_cpd00224_e': 0.009038943562780375, 'EX_cpd00027_e': 0.009038943562675634, 'EX_cpd01171_e': 0.009038943562698937, 'EX_cpd00154_e': 0.009038943562698937, 'EX_cpd00309_e': 0.009038943562777067, 'EX_cpd00108_e': 0.009038943562693847, 'EX_cpd00039_e': 0.009038943562693847, 'EX_cpd00011_e': 0.009038943562693847, 'EX_cpd00322_e': 0.009038943562693847, 'EX_cpd00111_e': 0.009038943562693847, 'EX_cpd00028_e': 0.009038943562693847, 'EX_cpd00066_e': 0.009038943562693847, 'EX_cpd01188_e': 0.009038943562693847, 'EX_cpd00357_e': 0.00903894356276589, 'EX_cpd00136_e': 0.009038943562693847, 'EX_cpd03847_e': 0.009038943562693847, 'EX_cpd01080_e': 0.009038943562693847, 'EX_cpd00010_e': 0.009038943562693847, 'EX_cpd00264_e': 0.009038943562693847, 'EX_cpd11606_e': 0.009038943562693847, 'EX_cpd00069_e': 0.009038943562693847, 'EX_cpd00060_e': 0.009038943562693847, 'EX_cpd00305_e': 0.009038943562693847, 'EX_cpd00129_e': 0.009038943562693847}",
B. longum subsp. longum_gapfilled_41,,"{'EX_cpd00224_e': 0.00905918752979639, 'EX_cpd00027_e': 0.009059187530149747, 'EX_cpd01171_e': 0.009059187530085125, 'EX_cpd00154_e': 0.009059187530085125, 'EX_cpd00309_e': 0.00905918752991701, 'EX_cpd00108_e': 0.009059187530085125, 'EX_cpd00039_e': 0.009059187530085125, 'EX_cpd00011_e': 0.009059187530085125, 'EX_cpd00322_e': 0.009059187530085125, 'EX_cpd00111_e': 0.009059187530085125, 'EX_cpd00028_e': 0.009059187530085125, 'EX_cpd00066_e': 0.009059187530085125, 'EX_cpd01188_e': 0.009059187530085125, 'EX_cpd00357_e': 0.009059187529958249, 'EX_cpd00136_e': 0.009059187530085125, 'EX_cpd03847_e': 0.009059187530085125, 'EX_cpd01080_e': 0.009059187530085125, 'EX_cpd00010_e': 0.009059187530085125, 'EX_cpd00264_e': 0.009059187530085125, 'EX_cpd11606_e': 0.009059187530085125, 'EX_cpd00069_e': 0.009059187530085125, 'EX_cpd00060_e': 0.009059187530085125, 'EX_cpd00305_e': 0.009059187530085125, 'EX_cpd00129_e': 0.009059187530085125}",
B. longum subsp. longum_gapfilled_42,,"{'EX_cpd00224_e': 0.009757186141720445, 'EX_cpd00027_e': 0.00975718614185983, 'EX_cpd01171_e': 0.009757186141696456, 'EX_cpd00154_e': 0.009757186141696456, 'EX_cpd00309_e': 0.009757186141636781, 'EX_cpd00108_e': 0.009757186141696456, 'EX_cpd00039_e': 0.009757186141696456, 'EX_cpd00011_e': 0.009757186141696456, 'EX_cpd00322_e': 0.009757186141696456, 'EX_cpd00111_e': 0.009757186141696456, 'EX_cpd00028_e': 0.009757186141696456, 'EX_cpd00066_e': 0.009757186141696456, 'EX_cpd01188_e': 0.009757186141696456, 'EX_cpd00357_e': 0.009757186141780361, 'EX_cpd00136_e': 0.009757186141696456, 'EX_cpd03847_e': 0.009757186141696456, 'EX_cpd01080_e': 0.009757186141696456, 'EX_cpd00010_e': 0.009757186141696456, 'EX_cpd00264_e': 0.009757186141696456, 'EX_cpd11606_e': 0.009757186141696456, 'EX_cpd00069_e': 0.009757186141696456, 'EX_cpd00060_e': 0.009757186141696456, 'EX_cpd00305_e': 0.009757186141696456, 'EX_cpd00129_e': 0.009757186141696456}",
B. longum subsp. longum_gapfilled_43,,"{'EX_cpd00224_e': 0.009059187530066222, 'EX_cpd00027_e': 0.00905918752985156, 'EX_cpd01171_e': 0.009059187529897737, 'EX_cpd00154_e': 0.009059187529897737, 'EX_cpd00309_e': 0.009059187529923168, 'EX_cpd00108_e': 0.009059187529910237, 'EX_cpd00039_e': 0.009059187529910237, 'EX_cpd00011_e': 0.009059187529910237, 'EX_cpd00322_e': 0.009059187529910237, 'EX_cpd00111_e': 0.009059187529910237, 'EX_cpd00028_e': 0.009059187529910237, 'EX_cpd00066_e': 0.009059187529910237, 'EX_cpd01188_e': 0.009059187529910237, 'EX_cpd00357_e': 0.009059187530073783, 'EX_cpd00136_e': 0.009059187529910237, 'EX_cpd03847_e': 0.009059187529910237, 'EX_cpd01080_e': 0.009059187529910237, 'EX_cpd00010_e': 0.009059187529910237, 'EX_cpd00264_e': 0.009059187529910237, 'EX_cpd11606_e': 0.009059187529910237, 'EX_cpd00069_e': 0.009059187529910237, 'EX_cpd00060_e': 0.009059187529910237, 'EX_cpd00305_e': 0.009059187529910237, 'EX_cpd00129_e': 0.009059187529910237}",
B. longum subsp. longum_gapfilled_44,,"{'EX_cpd00224_e': 0.009109108920173614, 'EX_cpd00027_e': 0.009109108920907303, 'EX_cpd01171_e': 0.009109108920815668, 'EX_cpd00154_e': 0.009109108920815668, 'EX_cpd00309_e': 0.009109108920917751, 'EX_cpd00108_e': 0.009109108920826116, 'EX_cpd00039_e': 0.009109108920826116, 'EX_cpd00011_e': 0.009109108920826116, 'EX_cpd00322_e': 0.009109108920826116, 'EX_cpd00111_e': 0.009109108920826116, 'EX_cpd00028_e': 0.009109108920826116, 'EX_cpd00066_e': 0.009109108920826116, 'EX_cpd01188_e': 0.009109108920826116, 'EX_cpd00357_e': 0.009109108920178108, 'EX_cpd00136_e': 0.009109108920826116, 'EX_cpd03847_e': 0.009109108920826116, 'EX_cpd01080_e': 0.009109108920826116, 'EX_cpd00010_e': 0.009109108920826116, 'EX_cpd00264_e': 0.009109108920826116, 'EX_cpd11606_e': 0.009109108920826116, 'EX_cpd00069_e': 0.009109108920826116, 'EX_cpd00060_e': 0.009109108920826116, 'EX_cpd00305_e': 0.009109108920826116, 'EX_cpd00129_e': 0.009109108920826116}",
B. longum subsp. longum_gapfilled_45,,"{'EX_cpd00224_e': 0.009520735804385153, 'EX_cpd00027_e': 0.009520735804457786, 'EX_cpd01171_e': 0.009520735804330804, 'EX_cpd00154_e': 0.009520735804330804, 'EX_cpd00309_e': 0.009520735804359005, 'EX_cpd00108_e': 0.00952073580436937, 'EX_cpd00039_e': 0.00952073580436937, 'EX_cpd00011_e': 0.00952073580436937, 'EX_cpd00322_e': 0.00952073580436937, 'EX_cpd00111_e': 0.00952073580436937, 'EX_cpd00028_e': 0.00952073580436937, 'EX_cpd00066_e': 0.00952073580436937, 'EX_cpd01188_e': 0.00952073580436937, 'EX_cpd00357_e': 0.009520735804352845, 'EX_cpd00136_e': 0.00952073580436937, 'EX_cpd03847_e': 0.00952073580436937, 'EX_cpd01080_e': 0.00952073580436937, 'EX_cpd00010_e': 0.00952073580436937, 'EX_cpd00264_e': 0.00952073580436937, 'EX_cpd11606_e': 0.00952073580436937, 'EX_cpd00069_e': 0.00952073580436937, 'EX_cpd00060_e': 0.00952073580436937, 'EX_cpd00305_e': 0.00952073580436937, 'EX_cpd00129_e': 0.00952073580436937}",
B. longum subsp. longum_gapfilled_46,,"{'EX_cpd00224_e': 0.009059187529984263, 'EX_cpd00027_e': 0.009059187529795837, 'EX_cpd01171_e': 0.009059187529784988, 'EX_cpd00154_e': 0.009059187529784988, 'EX_cpd00309_e': 0.009059187529800238, 'EX_cpd00108_e': 0.009059187529784988, 'EX_cpd00039_e': 0.009059187529784988, 'EX_cpd00011_e': 0.009059187529784988, 'EX_cpd00322_e': 0.009059187529784988, 'EX_cpd00111_e': 0.009059187529784988, 'EX_cpd00028_e': 0.009059187529784988, 'EX_cpd00066_e': 0.009059187529784988, 'EX_cpd01188_e': 0.009059187529784988, 'EX_cpd00357_e': 0.009059187530004561, 'EX_cpd00136_e': 0.009059187529784988, 'EX_cpd03847_e': 0.009059187529784988, 'EX_cpd01080_e': 0.009059187529784988, 'EX_cpd00010_e': 0.009059187529784988, 'EX_cpd00264_e': 0.009059187529784988, 'EX_cpd11606_e': 0.009059187529784988, 'EX_cpd00069_e': 0.009059187529784988, 'EX_cpd00060_e': 0.009059187529784988, 'EX_cpd00305_e': 0.009059187529784988, 'EX_cpd00129_e': 0.009059187529784988}",
B. longum subsp. longum_gapfilled_47,,"{'EX_cpd00224_e': 0.009038943562805853, 'EX_cpd00027_e': 0.00903894356266079, 'EX_cpd01171_e': 0.009038943562686112, 'EX_cpd00154_e': 0.009038943562686112, 'EX_cpd00309_e': 0.009038943562812627, 'EX_cpd00108_e': 0.009038943562812627, 'EX_cpd00039_e': 0.009038943562812627, 'EX_cpd00011_e': 0.009038943562812627, 'EX_cpd00322_e': 0.009038943562812627, 'EX_cpd00111_e': 0.009038943562812627, 'EX_cpd00028_e': 0.009038943562812627, 'EX_cpd00066_e': 0.009038943562812627, 'EX_cpd01188_e': 0.009038943562812627, 'EX_cpd00357_e': 0.009038943562655903, 'EX_cpd00136_e': 0.009038943562812627, 'EX_cpd03847_e': 0.009038943562812627, 'EX_cpd01080_e': 0.009038943562812627, 'EX_cpd00010_e': 0.009038943562812627, 'EX_cpd00264_e': 0.009038943562812627, 'EX_cpd11606_e': 0.009038943562812627, 'EX_cpd00069_e': 0.009038943562812627, 'EX_cpd00060_e': 0.009038943562812627, 'EX_cpd00305_e': 0.009038943562812627, 'EX_cpd00129_e': 0.009038943562812627}",
B. longum subsp. longum_gapfilled_48,,"{'EX_cpd00224_e': 0.009481080328218178, 'EX_cpd00027_e': 0.009481080328218178, 'EX_cpd01171_e': 0.009481080328218178, 'EX_cpd00154_e': 0.009481080328218178, 'EX_cpd00309_e': 0.009481080328218178, 'EX_cpd00108_e': 0.009481080328218178, 'EX_cpd00039_e': 0.009481080328218178, 'EX_cpd00011_e': 0.009481080328218178, 'EX_cpd00322_e': 0.009481080328218178, 'EX_cpd00111_e': 0.009481080328218178, 'EX_cpd00028_e': 0.009481080328218178, 'EX_cpd00066_e': 0.009481080328218178, 'EX_cpd01188_e': 0.009481080328218178, 'EX_cpd00357_e': 0.009481080328218178, 'EX_cpd00136_e': 0.009481080328218178, 'EX_cpd03847_e': 0.009481080328218178, 'EX_cpd01080_e': 0.009481080328218178, 'EX_cpd00010_e': 0.009481080328218178, 'EX_cpd00264_e': 0.009481080328218178, 'EX_cpd11606_e': 0.009481080328218178, 'EX_cpd00069_e': 0.009481080328218178, 'EX_cpd00060_e': 0.009481080328218178, 'EX_cpd00305_e': 0.009481080328218178, 'EX_cpd00129_e': 0.009481080328218178}",
B. longum subsp. longum_gapfilled_49,,"{'EX_cpd00224_e': 0.009038943562777015, 'EX_cpd00027_e': 0.009038943562680774, 'EX_cpd01171_e': 0.009038943562680774, 'EX_cpd00154_e': 0.009038943562680774, 'EX_cpd00309_e': 0.009038943562666015, 'EX_cpd00108_e': 0.009038943562733668, 'EX_cpd00039_e': 0.009038943562733668, 'EX_cpd00011_e': 0.009038943562733668, 'EX_cpd00322_e': 0.009038943562733668, 'EX_cpd00111_e': 0.009038943562733668, 'EX_cpd00028_e': 0.009038943562733668, 'EX_cpd00066_e': 0.009038943562733668, 'EX_cpd01188_e': 0.009038943562733668, 'EX_cpd00357_e': 0.009038943562774144, 'EX_cpd00136_e': 0.009038943562733668, 'EX_cpd03847_e': 0.009038943562733668, 'EX_cpd01080_e': 0.009038943562733668, 'EX_cpd00010_e': 0.009038943562733668, 'EX_cpd00264_e': 0.009038943562733668, 'EX_cpd11606_e': 0.009038943562733668, 'EX_cpd00069_e': 0.009038943562733668, 'EX_cpd00060_e': 0.009038943562733668, 'EX_cpd00305_e': 0.009038943562733668, 'EX_cpd00129_e': 0.009038943562733668}",
B. longum subsp. longum_gapfilled_50,,"{'EX_cpd00224_e': 0.009766085483156535, 'EX_cpd00027_e': 0.009766085483170149, 'EX_cpd01171_e': 0.009766085483170163, 'EX_cpd00154_e': 0.009766085483170163, 'EX_cpd00309_e': 0.009766085483154547, 'EX_cpd00108_e': 0.009766085482970957, 'EX_cpd00039_e': 0.009766085482970957, 'EX_cpd00011_e': 0.009766085482970957, 'EX_cpd00322_e': 0.009766085482970957, 'EX_cpd00111_e': 0.009766085482970957, 'EX_cpd00028_e': 0.009766085482970957, 'EX_cpd00066_e': 0.009766085482970957, 'EX_cpd01188_e': 0.009766085482970957, 'EX_cpd00357_e': 0.009766085483151433, 'EX_cpd00136_e': 0.009766085482970957, 'EX_cpd03847_e': 0.009766085482970957, 'EX_cpd01080_e': 0.009766085482970957, 'EX_cpd00010_e': 0.009766085482970957, 'EX_cpd00264_e': 0.009766085482970957, 'EX_cpd11606_e': 0.009766085482970957, 'EX_cpd00069_e': 0.009766085482970957, 'EX_cpd00060_e': 0.009766085482970957, 'EX_cpd00305_e': 0.009766085482970957, 'EX_cpd00129_e': 0.009766085482970957}",
B. longum subsp. longum_gapfilled_51,,"{'EX_cpd00224_e': 0.01003989709672806, 'EX_cpd00027_e': 0.010039897096658666, 'EX_cpd01171_e': 0.010039897096652905, 'EX_cpd00154_e': 0.010039897096652905, 'EX_cpd00309_e': 0.010039897096652907, 'EX_cpd00108_e': 0.010039897096652905, 'EX_cpd00039_e': 0.010039897096652905, 'EX_cpd00011_e': 0.010039897096652905, 'EX_cpd00322_e': 0.010039897096652905, 'EX_cpd00111_e': 0.010039897096652905, 'EX_cpd00028_e': 0.010039897096652905, 'EX_cpd00066_e': 0.010039897096652905, 'EX_cpd01188_e': 0.010039897096652905, 'EX_cpd00357_e': 0.010039897096652909, 'EX_cpd00136_e': 0.010039897096652905, 'EX_cpd03847_e': 0.010039897096652905, 'EX_cpd01080_e': 0.010039897096652905, 'EX_cpd00010_e': 0.010039897096652905, 'EX_cpd00264_e': 0.010039897096652905, 'EX_cpd11606_e': 0.010039897096652905, 'EX_cpd00069_e': 0.010039897096652905, 'EX_cpd00060_e': 0.010039897096652905, 'EX_cpd00305_e': 0.010039897096652905, 'EX_cpd00129_e': 0.010039897096652905}",
B. longum subsp. longum_gapfilled_52,,"{'EX_cpd00224_e': 0.009059187529998064, 'EX_cpd00027_e': 0.009059187529881248, 'EX_cpd01171_e': 0.009059187529917894, 'EX_cpd00154_e': 0.009059187529917894, 'EX_cpd00309_e': 0.009059187530015595, 'EX_cpd00108_e': 0.009059187529917894, 'EX_cpd00039_e': 0.009059187529917894, 'EX_cpd00011_e': 0.009059187529917894, 'EX_cpd00322_e': 0.009059187529917894, 'EX_cpd00111_e': 0.009059187529917894, 'EX_cpd00028_e': 0.009059187529917894, 'EX_cpd00066_e': 0.009059187529917894, 'EX_cpd01188_e': 0.009059187529917894, 'EX_cpd00357_e': 0.009059187529915446, 'EX_cpd00136_e': 0.009059187529917894, 'EX_cpd03847_e': 0.009059187529917894, 'EX_cpd01080_e': 0.009059187529917894, 'EX_cpd00010_e': 0.009059187529917894, 'EX_cpd00264_e': 0.009059187529917894, 'EX_cpd11606_e': 0.009059187529917894, 'EX_cpd00069_e': 0.009059187529917894, 'EX_cpd00060_e': 0.009059187529917894, 'EX_cpd00305_e': 0.009059187529917894, 'EX_cpd00129_e': 0.009059187529917894}",
B. longum subsp. longum_gapfilled_53,,"{'EX_cpd00224_e': 0.009543198048813394, 'EX_cpd00027_e': 0.0095431980488405, 'EX_cpd01171_e': 0.009543198048877025, 'EX_cpd00154_e': 0.009543198048877025, 'EX_cpd00309_e': 0.009543198048877025, 'EX_cpd00108_e': 0.009543198048877025, 'EX_cpd00039_e': 0.009543198048877025, 'EX_cpd00011_e': 0.009543198048877025, 'EX_cpd00322_e': 0.009543198048877025, 'EX_cpd00111_e': 0.009543198048877025, 'EX_cpd00028_e': 0.009543198048877025, 'EX_cpd00066_e': 0.009543198048877025, 'EX_cpd01188_e': 0.009543198048877025, 'EX_cpd00357_e': 0.009543198048638799, 'EX_cpd00136_e': 0.009543198048877025, 'EX_cpd03847_e': 0.009543198048877025, 'EX_cpd01080_e': 0.009543198048877025, 'EX_cpd00010_e': 0.009543198048877025, 'EX_cpd00264_e': 0.009543198048877025, 'EX_cpd11606_e': 0.009543198048877025, 'EX_cpd00069_e': 0.009543198048877025, 'EX_cpd00060_e': 0.009543198048877025, 'EX_cpd00305_e': 0.009543198048877025, 'EX_cpd00129_e': 0.009543198048877025}",
