,Parabacteroides distasonis ATCC 8503_0.01.pkl
P. distasonis_gapfilled_48,"{'EX_cpd00635_e': 0.020546098726897787, 'EX_cpd00023_e': 0.020546098726934817, 'EX_cpd11595_e': 0.020546098726897787, 'EX_cpd00154_e': 0.020546098726897787, 'EX_cpd08306_e': 0.020546098726897787, 'EX_cpd00309_e': 0.020546098726897787, 'EX_cpd00540_e': 0.020546098726897787, 'EX_cpd11597_e': 0.020546098726897787, 'EX_cpd08305_e': 0.020546098726897787, 'EX_cpd00396_e': 0.020546098726897787, 'EX_cpd00039_e': 0.020546098726897787, 'EX_cpd00011_e': 0.020546098726897787, 'EX_cpd00322_e': 0.020546098726897787, 'EX_cpd00111_e': 0.020546098726897787, 'EX_cpd00028_e': 0.020546098726897787, 'EX_cpd01188_e': 0.020546098726897787, 'EX_cpd00357_e': 0.020546098726897784, 'EX_cpd03847_e': 0.020546098726897787, 'EX_cpd01080_e': 0.020546098726897787, 'EX_cpd00010_e': 0.020546098726897787, 'EX_cpd00264_e': 0.020546098726897787, 'EX_cpd11606_e': 0.020546098726897787, 'EX_cpd00305_e': 0.020546098726897787, 'EX_cpd00129_e': 0.020546098726897787, 'EX_cpd00367_e': 0.020546098726897787}"
P. distasonis_gapfilled_49,"{'EX_cpd00635_e': 0.020546098726897784, 'EX_cpd00023_e': 0.020546098716690896, 'EX_cpd11595_e': 0.020546098726897784, 'EX_cpd00154_e': 0.020546098726897784, 'EX_cpd08306_e': 0.020546098726897784, 'EX_cpd00309_e': 0.020546098726897784, 'EX_cpd00540_e': 0.020546098726897784, 'EX_cpd11597_e': 0.020546098726897784, 'EX_cpd08305_e': 0.020546098726897784, 'EX_cpd00396_e': 0.020546098726897784, 'EX_cpd00039_e': 0.020546098726897784, 'EX_cpd00011_e': 0.020546098726897784, 'EX_cpd00322_e': 0.020546098726897784, 'EX_cpd00111_e': 0.020546098726897784, 'EX_cpd00028_e': 0.020546098726897784, 'EX_cpd01188_e': 0.020546098726897784, 'EX_cpd00357_e': 0.020546098726897784, 'EX_cpd03847_e': 0.020546098726897784, 'EX_cpd01080_e': 0.020546098726897784, 'EX_cpd00010_e': 0.020546098726897784, 'EX_cpd00264_e': 0.020546098726897784, 'EX_cpd11606_e': 0.020546098726897784, 'EX_cpd00305_e': 0.020546098726897784, 'EX_cpd00129_e': 0.020546098726897784, 'EX_cpd00367_e': 0.020546098726897784}"
P. distasonis_gapfilled_5,"{'EX_cpd00635_e': 0.04109219745371559, 'EX_cpd00023_e': 0.041092197453787664, 'EX_cpd11595_e': 0.04109219745371559, 'EX_cpd00154_e': 0.04109219745371559, 'EX_cpd08306_e': 0.04109219745371559, 'EX_cpd00309_e': 0.04109219745371559, 'EX_cpd00540_e': 0.04109219745371559, 'EX_cpd11597_e': 0.04109219745371559, 'EX_cpd08305_e': 0.04109219745371559, 'EX_cpd00396_e': 0.04109219745371559, 'EX_cpd00039_e': 0.04109219745371559, 'EX_cpd00011_e': 0.041092197453795574, 'EX_cpd00322_e': 0.041092197453795574, 'EX_cpd00111_e': 0.041092197453795574, 'EX_cpd00028_e': 0.041092197453795574, 'EX_cpd01188_e': 0.041092197453795574, 'EX_cpd00357_e': 0.041092197453415656, 'EX_cpd03847_e': 0.041092197453795574, 'EX_cpd01080_e': 0.041092197453795574, 'EX_cpd00010_e': 0.041092197453795574, 'EX_cpd00264_e': 0.041092197453795574, 'EX_cpd11606_e': 0.041092197453795574, 'EX_cpd00305_e': 0.041092197453795574, 'EX_cpd00129_e': 0.041092197453795574, 'EX_cpd00367_e': 0.04109219745371559}"
P. distasonis_gapfilled_50,"{'EX_cpd00635_e': 0.041092197453795554, 'EX_cpd00023_e': 0.04109219745329303, 'EX_cpd11595_e': 0.041092197453795554, 'EX_cpd00154_e': 0.041092197453795554, 'EX_cpd08306_e': 0.041092197453795554, 'EX_cpd00309_e': 0.041092197453795554, 'EX_cpd00540_e': 0.041092197453795554, 'EX_cpd11597_e': 0.041092197453795554, 'EX_cpd08305_e': 0.041092197453795554, 'EX_cpd00396_e': 0.041092197453795554, 'EX_cpd00039_e': 0.041092197453795554, 'EX_cpd00011_e': 0.041092197453795554, 'EX_cpd00322_e': 0.041092197453795554, 'EX_cpd00111_e': 0.041092197453795554, 'EX_cpd00028_e': 0.041092197453795554, 'EX_cpd01188_e': 0.041092197453795554, 'EX_cpd00357_e': 0.041092197453802035, 'EX_cpd03847_e': 0.041092197453795554, 'EX_cpd01080_e': 0.041092197453795554, 'EX_cpd00010_e': 0.041092197453795554, 'EX_cpd00264_e': 0.041092197453795554, 'EX_cpd11606_e': 0.041092197453795554, 'EX_cpd00305_e': 0.041092197453795554, 'EX_cpd00129_e': 0.041092197453795554, 'EX_cpd00367_e': 0.041092197453795554}"
P. distasonis_gapfilled_51,"{'EX_cpd00635_e': 0.020546098725493265, 'EX_cpd00023_e': 0.020546098726918302, 'EX_cpd11595_e': 0.020546098725493265, 'EX_cpd00154_e': 0.020546098725576056, 'EX_cpd08306_e': 0.020546098725493265, 'EX_cpd00309_e': 0.020546098725493265, 'EX_cpd00540_e': 0.020546098725493265, 'EX_cpd11597_e': 0.020546098725493265, 'EX_cpd08305_e': 0.020546098725493265, 'EX_cpd00396_e': 0.020546098725493265, 'EX_cpd00039_e': 0.020546098725493265, 'EX_cpd00011_e': 0.020546098725727095, 'EX_cpd00322_e': 0.020546098726847744, 'EX_cpd00111_e': 0.020546098726847744, 'EX_cpd00028_e': 0.020546098726847744, 'EX_cpd01188_e': 0.020546098726847744, 'EX_cpd00357_e': 0.020546098726897905, 'EX_cpd03847_e': 0.020546098726847744, 'EX_cpd01080_e': 0.020546098726847744, 'EX_cpd00010_e': 0.020546098726847744, 'EX_cpd00264_e': 0.020546098726847744, 'EX_cpd11606_e': 0.020546098726847744, 'EX_cpd00305_e': 0.020546098726847744, 'EX_cpd00129_e': 0.020546098726847744, 'EX_cpd00367_e': 0.020546098725493265}"
P. distasonis_gapfilled_52,"{'EX_cpd00635_e': 0.04109219745379556, 'EX_cpd00023_e': 0.04109219745303774, 'EX_cpd11595_e': 0.04109219745379556, 'EX_cpd00154_e': 0.04109219745379556, 'EX_cpd08306_e': 0.04109219745383392, 'EX_cpd00309_e': 0.04109219745374167, 'EX_cpd00540_e': 0.04109219745374167, 'EX_cpd11597_e': 0.04109219745374167, 'EX_cpd08305_e': 0.04109219745374167, 'EX_cpd00396_e': 0.04109219745374167, 'EX_cpd00039_e': 0.04109219745374167, 'EX_cpd00011_e': 0.04109219745374167, 'EX_cpd00322_e': 0.04109219745374167, 'EX_cpd00111_e': 0.04109219745374167, 'EX_cpd00028_e': 0.04109219745374167, 'EX_cpd01188_e': 0.04109219745374167, 'EX_cpd00357_e': 0.04109219745385804, 'EX_cpd03847_e': 0.04109219745374167, 'EX_cpd01080_e': 0.04109219745374167, 'EX_cpd00010_e': 0.04109219745374167, 'EX_cpd00264_e': 0.04109219745374167, 'EX_cpd11606_e': 0.04109219745374167, 'EX_cpd00305_e': 0.04109219745374167, 'EX_cpd00129_e': 0.04109219745374167, 'EX_cpd00367_e': 0.04109219745379556}"
P. distasonis_gapfilled_53,"{'EX_cpd00635_e': 0.02054609872689779, 'EX_cpd00023_e': 0.020546098726222164, 'EX_cpd11595_e': 0.02054609872689779, 'EX_cpd00154_e': 0.02054609872689779, 'EX_cpd08306_e': 0.02054609872689779, 'EX_cpd00309_e': 0.02054609872689779, 'EX_cpd00540_e': 0.02054609872689779, 'EX_cpd11597_e': 0.02054609872689779, 'EX_cpd08305_e': 0.02054609872689779, 'EX_cpd00396_e': 0.02054609872689779, 'EX_cpd00039_e': 0.02054609872689779, 'EX_cpd00011_e': 0.02054609872689779, 'EX_cpd00322_e': 0.020546098726897784, 'EX_cpd00111_e': 0.020546098726897784, 'EX_cpd00028_e': 0.020546098726897784, 'EX_cpd01188_e': 0.020546098726897784, 'EX_cpd00357_e': 0.020546098726897787, 'EX_cpd03847_e': 0.020546098726897784, 'EX_cpd01080_e': 0.020546098726897784, 'EX_cpd00010_e': 0.020546098726897784, 'EX_cpd00264_e': 0.020546098726897784, 'EX_cpd11606_e': 0.020546098726897784, 'EX_cpd00305_e': 0.020546098726897784, 'EX_cpd00129_e': 0.020546098726897784, 'EX_cpd00367_e': 0.02054609872689779}"
P. distasonis_gapfilled_54,"{'EX_cpd00635_e': 0.020546098726897756, 'EX_cpd00023_e': 0.020546098726871537, 'EX_cpd11595_e': 0.020546098726897756, 'EX_cpd00154_e': 0.020546098726897777, 'EX_cpd08306_e': 0.02054609872670078, 'EX_cpd00309_e': 0.02054609872670078, 'EX_cpd00540_e': 0.02054609872670078, 'EX_cpd11597_e': 0.02054609872670078, 'EX_cpd08305_e': 0.02054609872670078, 'EX_cpd00396_e': 0.02054609872670078, 'EX_cpd00039_e': 0.02054609872670078, 'EX_cpd00011_e': 0.020546098726715884, 'EX_cpd00322_e': 0.02054609872670078, 'EX_cpd00111_e': 0.02054609872670078, 'EX_cpd00028_e': 0.02054609872670078, 'EX_cpd01188_e': 0.02054609872670078, 'EX_cpd00357_e': 0.020546098726897784, 'EX_cpd03847_e': 0.02054609872670078, 'EX_cpd01080_e': 0.02054609872670078, 'EX_cpd00010_e': 0.02054609872670078, 'EX_cpd00264_e': 0.02054609872670078, 'EX_cpd11606_e': 0.02054609872670078, 'EX_cpd00305_e': 0.02054609872670078, 'EX_cpd00129_e': 0.02054609872670078, 'EX_cpd00367_e': 0.020546098726897756}"
P. distasonis_gapfilled_55,"{'EX_cpd00635_e': 0.0410921974544776, 'EX_cpd00023_e': 0.04109219745445344, 'EX_cpd11595_e': 0.0410921974544776, 'EX_cpd00154_e': 0.04109219745426335, 'EX_cpd08306_e': 0.0410921974544776, 'EX_cpd00309_e': 0.0410921974544776, 'EX_cpd00540_e': 0.0410921974544776, 'EX_cpd11597_e': 0.0410921974544776, 'EX_cpd08305_e': 0.0410921974544776, 'EX_cpd00396_e': 0.041092197454398495, 'EX_cpd00039_e': 0.0410921974544776, 'EX_cpd00011_e': 0.04109219745479005, 'EX_cpd00322_e': 0.041092197453795574, 'EX_cpd00111_e': 0.041092197453795574, 'EX_cpd00028_e': 0.041092197453795574, 'EX_cpd01188_e': 0.041092197453795574, 'EX_cpd00357_e': 0.04109219745392953, 'EX_cpd03847_e': 0.041092197453795574, 'EX_cpd01080_e': 0.041092197453795574, 'EX_cpd00010_e': 0.041092197453795574, 'EX_cpd00264_e': 0.041092197453795574, 'EX_cpd11606_e': 0.041092197453795574, 'EX_cpd00305_e': 0.041092197453795574, 'EX_cpd00129_e': 0.041092197453795574, 'EX_cpd00367_e': 0.0410921974544776}"
P. distasonis_gapfilled_56,"{'EX_cpd00635_e': 0.041092197453795595, 'EX_cpd00023_e': 0.04109219745379556, 'EX_cpd11595_e': 0.041092197453795595, 'EX_cpd00154_e': 0.041092197453795595, 'EX_cpd08306_e': 0.041092197453795595, 'EX_cpd00309_e': 0.041092197453795595, 'EX_cpd00540_e': 0.041092197453795595, 'EX_cpd11597_e': 0.041092197453795595, 'EX_cpd08305_e': 0.041092197453795595, 'EX_cpd00396_e': 0.041092197453795595, 'EX_cpd00039_e': 0.041092197453795595, 'EX_cpd00011_e': 0.041092197453795595, 'EX_cpd00322_e': 0.041092197453795595, 'EX_cpd00111_e': 0.041092197453795595, 'EX_cpd00028_e': 0.041092197453795595, 'EX_cpd01188_e': 0.041092197453795595, 'EX_cpd00357_e': 0.04109219745379559, 'EX_cpd03847_e': 0.041092197453795595, 'EX_cpd01080_e': 0.041092197453795595, 'EX_cpd00010_e': 0.041092197453795595, 'EX_cpd00264_e': 0.041092197453795595, 'EX_cpd11606_e': 0.041092197453795595, 'EX_cpd00305_e': 0.041092197453795595, 'EX_cpd00129_e': 0.041092197453795595, 'EX_cpd00367_e': 0.041092197453795595}"
P. distasonis_gapfilled_57,"{'EX_cpd00635_e': 0.020546098726897808, 'EX_cpd00023_e': 0.020546098727193277, 'EX_cpd11595_e': 0.020546098726897808, 'EX_cpd00154_e': 0.020546098726897808, 'EX_cpd08306_e': 0.020546098726897808, 'EX_cpd00309_e': 0.020546098726897808, 'EX_cpd00540_e': 0.020546098726897808, 'EX_cpd11597_e': 0.020546098726897808, 'EX_cpd08305_e': 0.020546098726897808, 'EX_cpd00396_e': 0.020546098726897808, 'EX_cpd00039_e': 0.020546098726897808, 'EX_cpd00011_e': 0.020546098726897808, 'EX_cpd00322_e': 0.020546098726897808, 'EX_cpd00111_e': 0.020546098726897808, 'EX_cpd00028_e': 0.020546098726897808, 'EX_cpd01188_e': 0.020546098726897808, 'EX_cpd00357_e': 0.02054609872689782, 'EX_cpd03847_e': 0.020546098726897808, 'EX_cpd01080_e': 0.020546098726897808, 'EX_cpd00010_e': 0.020546098726897808, 'EX_cpd00264_e': 0.020546098726897808, 'EX_cpd11606_e': 0.020546098726897808, 'EX_cpd00305_e': 0.020546098726897808, 'EX_cpd00129_e': 0.020546098726897808, 'EX_cpd00367_e': 0.020546098726897808}"
P. distasonis_gapfilled_58,"{'EX_cpd00635_e': 0.02054609872694377, 'EX_cpd00023_e': 0.020546098726897787, 'EX_cpd11595_e': 0.02054609872694377, 'EX_cpd00154_e': 0.020546098726943778, 'EX_cpd08306_e': 0.020546098726897777, 'EX_cpd00309_e': 0.020546098726897777, 'EX_cpd00540_e': 0.020546098726897777, 'EX_cpd11597_e': 0.020546098726897777, 'EX_cpd08305_e': 0.020546098726897777, 'EX_cpd00396_e': 0.020546098726897777, 'EX_cpd00039_e': 0.020546098726897777, 'EX_cpd00011_e': 0.020546098726897777, 'EX_cpd00322_e': 0.020546098726897777, 'EX_cpd00111_e': 0.020546098726897777, 'EX_cpd00028_e': 0.020546098726897777, 'EX_cpd01188_e': 0.020546098726897777, 'EX_cpd00357_e': 0.020546098726897798, 'EX_cpd03847_e': 0.020546098726897777, 'EX_cpd01080_e': 0.020546098726897777, 'EX_cpd00010_e': 0.020546098726897777, 'EX_cpd00264_e': 0.020546098726897777, 'EX_cpd11606_e': 0.020546098726897777, 'EX_cpd00305_e': 0.020546098726897777, 'EX_cpd00129_e': 0.020546098726897777, 'EX_cpd00367_e': 0.02054609872694377}"
P. distasonis_gapfilled_59,"{'EX_cpd00635_e': 0.02054609872695996, 'EX_cpd00023_e': 0.02054609872689777, 'EX_cpd11595_e': 0.02054609872695996, 'EX_cpd00154_e': 0.020546098727135288, 'EX_cpd08306_e': 0.020546098726959984, 'EX_cpd00309_e': 0.020546098726959984, 'EX_cpd00540_e': 0.020546098726959984, 'EX_cpd11597_e': 0.020546098726959984, 'EX_cpd08305_e': 0.020546098726959984, 'EX_cpd00396_e': 0.020546098726959984, 'EX_cpd00039_e': 0.020546098726959984, 'EX_cpd00011_e': 0.02054609872712503, 'EX_cpd00322_e': 0.020546098726959987, 'EX_cpd00111_e': 0.020546098726959987, 'EX_cpd00028_e': 0.020546098726959987, 'EX_cpd01188_e': 0.020546098726959987, 'EX_cpd00357_e': 0.020546098727272522, 'EX_cpd03847_e': 0.020546098726959987, 'EX_cpd01080_e': 0.020546098726959987, 'EX_cpd00010_e': 0.020546098726959987, 'EX_cpd00264_e': 0.020546098726959987, 'EX_cpd11606_e': 0.020546098726959987, 'EX_cpd00305_e': 0.020546098726959987, 'EX_cpd00129_e': 0.020546098726959987, 'EX_cpd00367_e': 0.02054609872695996}"
P. distasonis_gapfilled_6,"{'EX_cpd00635_e': 0.04109219745379557, 'EX_cpd00023_e': 0.04109219745379557, 'EX_cpd11595_e': 0.04109219745379557, 'EX_cpd00154_e': 0.04109219745379557, 'EX_cpd08306_e': 0.041092197453795574, 'EX_cpd00309_e': 0.041092197453795574, 'EX_cpd00540_e': 0.041092197453795574, 'EX_cpd11597_e': 0.041092197453795574, 'EX_cpd08305_e': 0.041092197453795574, 'EX_cpd00396_e': 0.041092197453795574, 'EX_cpd00039_e': 0.041092197453795574, 'EX_cpd00011_e': 0.041092197453795574, 'EX_cpd00322_e': 0.04109219745379558, 'EX_cpd00111_e': 0.04109219745379558, 'EX_cpd00028_e': 0.04109219745379558, 'EX_cpd01188_e': 0.04109219745379558, 'EX_cpd00357_e': 0.04109219745379557, 'EX_cpd03847_e': 0.04109219745379558, 'EX_cpd01080_e': 0.04109219745379558, 'EX_cpd00010_e': 0.04109219745379558, 'EX_cpd00264_e': 0.04109219745379558, 'EX_cpd11606_e': 0.04109219745379558, 'EX_cpd00305_e': 0.04109219745379558, 'EX_cpd00129_e': 0.04109219745380642, 'EX_cpd00367_e': 0.04109219745379557}"
P. distasonis_gapfilled_60,"{'EX_cpd00635_e': 0.04109219745444367, 'EX_cpd00023_e': 0.04109219745458729, 'EX_cpd11595_e': 0.04109219745444367, 'EX_cpd00154_e': 0.0410921974539973, 'EX_cpd08306_e': 0.04109219745384707, 'EX_cpd00309_e': 0.04109219745384707, 'EX_cpd00540_e': 0.04109219745384707, 'EX_cpd11597_e': 0.04109219745384707, 'EX_cpd08305_e': 0.04109219745384707, 'EX_cpd00396_e': 0.04109219745384707, 'EX_cpd00039_e': 0.04109219745384707, 'EX_cpd00011_e': 0.041092197453937836, 'EX_cpd00322_e': 0.04109219745384688, 'EX_cpd00111_e': 0.04109219745384688, 'EX_cpd00028_e': 0.04109219745384688, 'EX_cpd01188_e': 0.04109219745384688, 'EX_cpd00357_e': 0.04109219745418407, 'EX_cpd03847_e': 0.04109219745384688, 'EX_cpd01080_e': 0.04109219745384688, 'EX_cpd00010_e': 0.04109219745384688, 'EX_cpd00264_e': 0.04109219745384688, 'EX_cpd11606_e': 0.04109219745384688, 'EX_cpd00305_e': 0.04109219745384688, 'EX_cpd00129_e': 0.04109219745384691, 'EX_cpd00367_e': 0.04109219745444367}"
P. distasonis_gapfilled_61,"{'EX_cpd00635_e': 0.02054609872689778, 'EX_cpd00023_e': 0.020546098727121067, 'EX_cpd11595_e': 0.02054609872689778, 'EX_cpd00154_e': 0.02054609872689778, 'EX_cpd08306_e': 0.02054609872689778, 'EX_cpd00309_e': 0.02054609872689778, 'EX_cpd00540_e': 0.02054609872689778, 'EX_cpd11597_e': 0.02054609872689778, 'EX_cpd08305_e': 0.02054609872689778, 'EX_cpd00396_e': 0.02054609872689778, 'EX_cpd00039_e': 0.02054609872689778, 'EX_cpd00011_e': 0.02054609872689778, 'EX_cpd00322_e': 0.02054609872689778, 'EX_cpd00111_e': 0.02054609872689778, 'EX_cpd00028_e': 0.02054609872689778, 'EX_cpd01188_e': 0.02054609872689778, 'EX_cpd00357_e': 0.020546098726897763, 'EX_cpd03847_e': 0.02054609872689778, 'EX_cpd01080_e': 0.02054609872689778, 'EX_cpd00010_e': 0.02054609872689778, 'EX_cpd00264_e': 0.02054609872689778, 'EX_cpd11606_e': 0.02054609872689778, 'EX_cpd00305_e': 0.02054609872689778, 'EX_cpd00129_e': 0.02054609872689778, 'EX_cpd00367_e': 0.02054609872689778}"
P. distasonis_gapfilled_62,"{'EX_cpd00635_e': 0.04109219745380686, 'EX_cpd00023_e': 0.041092197453795554, 'EX_cpd11595_e': 0.04109219745380686, 'EX_cpd00154_e': 0.041092197453782446, 'EX_cpd08306_e': 0.04109219745380686, 'EX_cpd00309_e': 0.04109219745380686, 'EX_cpd00540_e': 0.04109219745380686, 'EX_cpd11597_e': 0.04109219745380686, 'EX_cpd08305_e': 0.04109219745380686, 'EX_cpd00396_e': 0.04109219745380686, 'EX_cpd00039_e': 0.04109219745380686, 'EX_cpd00011_e': 0.04109219745378879, 'EX_cpd00322_e': 0.04109219745380382, 'EX_cpd00111_e': 0.04109219745380382, 'EX_cpd00028_e': 0.04109219745380382, 'EX_cpd01188_e': 0.04109219745380382, 'EX_cpd00357_e': 0.04109219745376772, 'EX_cpd03847_e': 0.04109219745380382, 'EX_cpd01080_e': 0.04109219745380382, 'EX_cpd00010_e': 0.04109219745380382, 'EX_cpd00264_e': 0.04109219745380382, 'EX_cpd11606_e': 0.04109219745380382, 'EX_cpd00305_e': 0.04109219745380382, 'EX_cpd00129_e': 0.04109219745380382, 'EX_cpd00367_e': 0.04109219745380686}"
P. distasonis_gapfilled_63,"{'EX_cpd00635_e': 0.020546098726615485, 'EX_cpd00023_e': 0.020546098651507024, 'EX_cpd11595_e': 0.020546098726615485, 'EX_cpd00154_e': 0.020546098726897784, 'EX_cpd08306_e': 0.020546098726615485, 'EX_cpd00309_e': 0.020546098726615485, 'EX_cpd00540_e': 0.020546098726615485, 'EX_cpd11597_e': 0.020546098726615485, 'EX_cpd08305_e': 0.020546098726615485, 'EX_cpd00396_e': 0.020546098726615485, 'EX_cpd00039_e': 0.020546098726615485, 'EX_cpd00011_e': 0.020546098726600254, 'EX_cpd00322_e': 0.020546098726615485, 'EX_cpd00111_e': 0.020546098726615485, 'EX_cpd00028_e': 0.020546098726615485, 'EX_cpd01188_e': 0.020546098726615485, 'EX_cpd00357_e': 0.02054609840449696, 'EX_cpd03847_e': 0.020546098726615485, 'EX_cpd01080_e': 0.020546098726615485, 'EX_cpd00010_e': 0.020546098726615485, 'EX_cpd00264_e': 0.020546098726615485, 'EX_cpd11606_e': 0.020546098726615485, 'EX_cpd00305_e': 0.020546098726615485, 'EX_cpd00129_e': 0.020546098726615485, 'EX_cpd00367_e': 0.020546098726615485}"
P. distasonis_gapfilled_64,"{'EX_cpd00635_e': 0.04109219745438775, 'EX_cpd00023_e': 0.04109219745379553, 'EX_cpd11595_e': 0.04109219745438775, 'EX_cpd00154_e': 0.04109219745435552, 'EX_cpd08306_e': 0.04109219745438775, 'EX_cpd00309_e': 0.04109219745438775, 'EX_cpd00540_e': 0.04109219745438775, 'EX_cpd11597_e': 0.04109219745438775, 'EX_cpd08305_e': 0.04109219745438775, 'EX_cpd00396_e': 0.04109219745438775, 'EX_cpd00039_e': 0.04109219745438775, 'EX_cpd00011_e': 0.04109219745378077, 'EX_cpd00322_e': 0.04109219745433517, 'EX_cpd00111_e': 0.04109219745433517, 'EX_cpd00028_e': 0.04109219745433517, 'EX_cpd01188_e': 0.04109219745433517, 'EX_cpd00357_e': 0.04109219745379557, 'EX_cpd03847_e': 0.04109219745433517, 'EX_cpd01080_e': 0.04109219745433517, 'EX_cpd00010_e': 0.04109219745433517, 'EX_cpd00264_e': 0.04109219745433517, 'EX_cpd11606_e': 0.04109219745433517, 'EX_cpd00305_e': 0.04109219745433517, 'EX_cpd00129_e': 0.04109219745433517, 'EX_cpd00367_e': 0.04109219745438775}"
P. distasonis_gapfilled_65,"{'EX_cpd00635_e': 0.04109219745379558, 'EX_cpd00023_e': 0.04109219745344286, 'EX_cpd11595_e': 0.04109219745379558, 'EX_cpd00154_e': 0.04109219745379558, 'EX_cpd08306_e': 0.04109219745379558, 'EX_cpd00309_e': 0.04109219745379558, 'EX_cpd00540_e': 0.04109219745379558, 'EX_cpd11597_e': 0.04109219745379558, 'EX_cpd08305_e': 0.04109219745379558, 'EX_cpd00396_e': 0.04109219745379558, 'EX_cpd00039_e': 0.04109219745379558, 'EX_cpd00011_e': 0.04109219745379558, 'EX_cpd00322_e': 0.04109219745375116, 'EX_cpd00111_e': 0.04109219745375116, 'EX_cpd00028_e': 0.04109219745375116, 'EX_cpd01188_e': 0.04109219745375116, 'EX_cpd00357_e': 0.04109219746223173, 'EX_cpd03847_e': 0.04109219745375116, 'EX_cpd01080_e': 0.04109219745375116, 'EX_cpd00010_e': 0.04109219745375116, 'EX_cpd00264_e': 0.04109219745375116, 'EX_cpd11606_e': 0.04109219745375116, 'EX_cpd00305_e': 0.04109219745375116, 'EX_cpd00129_e': 0.04109219745375116, 'EX_cpd00367_e': 0.04109219745379558}"
P. distasonis_gapfilled_66,"{'EX_cpd00635_e': 0.04109219745379446, 'EX_cpd00023_e': 0.041092197453795574, 'EX_cpd11595_e': 0.04109219745379446, 'EX_cpd00154_e': 0.04109219745379446, 'EX_cpd08306_e': 0.04109219745379446, 'EX_cpd00309_e': 0.04109219745379446, 'EX_cpd00540_e': 0.04109219745379446, 'EX_cpd11597_e': 0.04109219745379446, 'EX_cpd08305_e': 0.04109219745379446, 'EX_cpd00396_e': 0.04109219745379446, 'EX_cpd00039_e': 0.04109219745379446, 'EX_cpd00011_e': 0.04109219745379296, 'EX_cpd00322_e': 0.04109219745379631, 'EX_cpd00111_e': 0.04109219745379631, 'EX_cpd00028_e': 0.04109219745379631, 'EX_cpd01188_e': 0.04109219745379631, 'EX_cpd00357_e': 0.04109219745385019, 'EX_cpd03847_e': 0.04109219745379631, 'EX_cpd01080_e': 0.04109219745379631, 'EX_cpd00010_e': 0.04109219745379631, 'EX_cpd00264_e': 0.04109219745379631, 'EX_cpd11606_e': 0.04109219745379631, 'EX_cpd00305_e': 0.04109219745379631, 'EX_cpd00129_e': 0.04109219745377399, 'EX_cpd00367_e': 0.04109219745379446}"
P. distasonis_gapfilled_67,"{'EX_cpd00635_e': 0.02054609872689764, 'EX_cpd00023_e': 0.020546098727401575, 'EX_cpd11595_e': 0.02054609872689764, 'EX_cpd00154_e': 0.02054609872686393, 'EX_cpd08306_e': 0.02054609872689764, 'EX_cpd00309_e': 0.02054609872689764, 'EX_cpd00540_e': 0.02054609872689764, 'EX_cpd11597_e': 0.02054609872689764, 'EX_cpd08305_e': 0.02054609872689764, 'EX_cpd00396_e': 0.02054609872689764, 'EX_cpd00039_e': 0.02054609872689764, 'EX_cpd00011_e': 0.02054609872687211, 'EX_cpd00322_e': 0.02054609872689764, 'EX_cpd00111_e': 0.02054609872689764, 'EX_cpd00028_e': 0.02054609872689764, 'EX_cpd01188_e': 0.02054609872689764, 'EX_cpd00357_e': 0.020546098726893336, 'EX_cpd03847_e': 0.02054609872689764, 'EX_cpd01080_e': 0.02054609872689764, 'EX_cpd00010_e': 0.02054609872689764, 'EX_cpd00264_e': 0.02054609872689764, 'EX_cpd11606_e': 0.02054609872689764, 'EX_cpd00305_e': 0.02054609872689764, 'EX_cpd00129_e': 0.02054609872689764, 'EX_cpd00367_e': 0.02054609872689764}"
P. distasonis_gapfilled_68,"{'EX_cpd00635_e': 0.041092197453795574, 'EX_cpd00023_e': 0.04109219745370219, 'EX_cpd11595_e': 0.041092197453795574, 'EX_cpd00154_e': 0.041092197453795574, 'EX_cpd08306_e': 0.041092197453795574, 'EX_cpd00309_e': 0.041092197453795574, 'EX_cpd00540_e': 0.041092197453795574, 'EX_cpd11597_e': 0.041092197453795574, 'EX_cpd08305_e': 0.041092197453795574, 'EX_cpd00396_e': 0.041092197453795574, 'EX_cpd00039_e': 0.041092197453795574, 'EX_cpd00011_e': 0.041092197453795574, 'EX_cpd00322_e': 0.041092197453795574, 'EX_cpd00111_e': 0.041092197453795574, 'EX_cpd00028_e': 0.041092197453795574, 'EX_cpd01188_e': 0.041092197453795574, 'EX_cpd00357_e': 0.04109219745391949, 'EX_cpd03847_e': 0.041092197453795574, 'EX_cpd01080_e': 0.041092197453795574, 'EX_cpd00010_e': 0.041092197453795574, 'EX_cpd00264_e': 0.041092197453795574, 'EX_cpd11606_e': 0.041092197453795574, 'EX_cpd00305_e': 0.041092197453795574, 'EX_cpd00129_e': 0.041092197453795574, 'EX_cpd00367_e': 0.041092197453795574}"
