,Parabacteroides distasonis ATCC 8503_0.01.pkl,Bifidobacterium longum strain DSM 20219_0.01.pkl,Ruminococcus gnavus ATCC 29149_0.01.pkl,Bacteroides vulgatus ATCC 8482_0.01.pkl,Lactococcus lactis subsp. lactis Il1403_0.01.pkl,Lactobacillus plantarum WCFS1_0.01.pkl,Bacteroides clarus YIT 12056_0.01.pkl
B. vulgatus_gapfilled_33,,,,"{'EX_cpd00635_e': 0.0036086421015783313, 'EX_cpd00023_e': 0.0036086421018323195, 'EX_cpd00224_e': 0.0036086421017967898, 'EX_cpd11595_e': 0.0036086421015783313, 'EX_cpd01217_e': 0.0036086421018658678, 'EX_cpd00027_e': 0.003608642102118808, 'EX_cpd01171_e': 0.0036086421015783313, 'EX_cpd00154_e': 0.0036086421011810453, 'EX_cpd08306_e': 0.0036086421015783313, 'EX_cpd00164_e': 0.0036086421015783313, 'EX_cpd00309_e': 0.0036086421011071973, 'EX_cpd00280_e': 0.0036086421015783313, 'EX_cpd00108_e': 0.0036086421015783313, 'EX_cpd00159_e': 0.003608642101659681, 'EX_cpd00540_e': 0.0036086421015783313, 'EX_cpd11597_e': 0.0036086421015783313, 'EX_cpd08305_e': 0.0036086421015783313, 'EX_cpd00396_e': 0.0036086421015783313, 'EX_cpd00039_e': 0.0036086421015783313, 'EX_cpd00011_e': 0.0036086421015783313, 'EX_cpd00322_e': 0.0036086421015783313, 'EX_cpd00111_e': 0.0036086421015783313, 'EX_cpd00028_e': 0.0036086421015783313, 'EX_cpd00066_e': 0.0036086421015783313, 'EX_cpd01188_e': 0.0036086421015783313, 'EX_cpd00357_e': 0.0036086421015783313, 'EX_cpd00136_e': 0.0036086421015783313, 'EX_cpd03847_e': 0.0036086421015783313, 'EX_cpd01080_e': 0.0036086421015783313, 'EX_cpd03422_e': 0.0036086421015783313, 'EX_cpd00010_e': 0.0036086421015783313, 'EX_cpd00264_e': 0.0036086421015783313, 'EX_cpd11606_e': 0.0036086421015783313, 'EX_cpd00069_e': 0.0036086421015783313, 'EX_cpd00060_e': 0.0036086421015783313, 'EX_cpd00305_e': 0.0036086421015783313}",,,
B. vulgatus_gapfilled_34,,,,"{'EX_cpd00635_e': 0.0036086421014230245, 'EX_cpd00023_e': 0.0036086421016808864, 'EX_cpd00224_e': 0.003608642101707889, 'EX_cpd11595_e': 0.0036086421014230245, 'EX_cpd01217_e': 0.0036086421016615607, 'EX_cpd00027_e': 0.003608642101450421, 'EX_cpd01171_e': 0.0036086421014230245, 'EX_cpd00154_e': 0.0036086421014555293, 'EX_cpd08306_e': 0.0036086421014230245, 'EX_cpd00164_e': 0.0036086421014230245, 'EX_cpd00309_e': 0.0036086421013905323, 'EX_cpd00280_e': 0.0036086421014230245, 'EX_cpd00108_e': 0.0036086421014230245, 'EX_cpd00159_e': 0.0036086421014230323, 'EX_cpd00540_e': 0.0036086421014230245, 'EX_cpd11597_e': 0.0036086421014230245, 'EX_cpd08305_e': 0.0036086421014230245, 'EX_cpd00396_e': 0.0036086421014230245, 'EX_cpd00039_e': 0.0036086421014230245, 'EX_cpd00011_e': 0.0036086421014230245, 'EX_cpd00322_e': 0.0036086421014230245, 'EX_cpd00111_e': 0.0036086421014230245, 'EX_cpd00028_e': 0.0036086421014230245, 'EX_cpd00066_e': 0.0036086421014230245, 'EX_cpd01188_e': 0.0036086421014230245, 'EX_cpd00357_e': 0.0036086421014230323, 'EX_cpd00136_e': 0.0036086421014230245, 'EX_cpd03847_e': 0.0036086421014230245, 'EX_cpd01080_e': 0.0036086421014230245, 'EX_cpd03422_e': 0.0036086421014230245, 'EX_cpd00010_e': 0.0036086421014230245, 'EX_cpd00264_e': 0.0036086421014230245, 'EX_cpd11606_e': 0.0036086421014230245, 'EX_cpd00069_e': 0.0036086421014230245, 'EX_cpd00060_e': 0.0036086421014230245, 'EX_cpd00305_e': 0.0036086421014230245}",,,
B. vulgatus_gapfilled_35,,,,"{'EX_cpd00635_e': 0.0036114612857230536, 'EX_cpd00023_e': 0.00361146128596303, 'EX_cpd00224_e': 0.0036114612860636106, 'EX_cpd11595_e': 0.0036114612857230536, 'EX_cpd01217_e': 0.003611461286209005, 'EX_cpd00027_e': 0.0036114612862780267, 'EX_cpd01171_e': 0.0036114612857230536, 'EX_cpd00154_e': 0.003611461286216129, 'EX_cpd08306_e': 0.0036114612857230536, 'EX_cpd00164_e': 0.0036114612857230536, 'EX_cpd00309_e': 0.0036114612866829307, 'EX_cpd00280_e': 0.0036114612868092867, 'EX_cpd00108_e': 0.0036114612868092867, 'EX_cpd00159_e': 0.0036114612862806253, 'EX_cpd00540_e': 0.0036114612868092867, 'EX_cpd11597_e': 0.0036114612868092867, 'EX_cpd08305_e': 0.0036114612868092867, 'EX_cpd00396_e': 0.0036114612868092867, 'EX_cpd00039_e': 0.0036114612868092867, 'EX_cpd00011_e': 0.0036114612868092867, 'EX_cpd00322_e': 0.0036114612868092867, 'EX_cpd00111_e': 0.0036114612868092867, 'EX_cpd00028_e': 0.0036114612868092867, 'EX_cpd00066_e': 0.0036114612868092867, 'EX_cpd01188_e': 0.0036114612868092867, 'EX_cpd00357_e': 0.0036114612860274346, 'EX_cpd00136_e': 0.0036114612868092867, 'EX_cpd03847_e': 0.0036114612868092867, 'EX_cpd01080_e': 0.0036114612868092867, 'EX_cpd03422_e': 0.0036114612868092867, 'EX_cpd00010_e': 0.0036114612868092867, 'EX_cpd00264_e': 0.0036114612868092867, 'EX_cpd11606_e': 0.0036114612868092867, 'EX_cpd00069_e': 0.0036114612868092867, 'EX_cpd00060_e': 0.0036114612868092867, 'EX_cpd00305_e': 0.0036114612868092867}",,,
B. vulgatus_gapfilled_36,,,,"{'EX_cpd00635_e': 0.00360864210240415, 'EX_cpd00023_e': 0.0036086421017620007, 'EX_cpd00224_e': 0.003608642101763688, 'EX_cpd11595_e': 0.00360864210240415, 'EX_cpd01217_e': 0.003608642101735521, 'EX_cpd00027_e': 0.00360864210240415, 'EX_cpd01171_e': 0.00360864210240415, 'EX_cpd00154_e': 0.003608642102272895, 'EX_cpd08306_e': 0.00360864210240415, 'EX_cpd00164_e': 0.00360864210240415, 'EX_cpd00309_e': 0.003608642102400126, 'EX_cpd00280_e': 0.00360864210240415, 'EX_cpd00108_e': 0.00360864210240415, 'EX_cpd00159_e': 0.0036086421019164263, 'EX_cpd00540_e': 0.00360864210240415, 'EX_cpd11597_e': 0.00360864210240415, 'EX_cpd08305_e': 0.00360864210240415, 'EX_cpd00396_e': 0.00360864210240415, 'EX_cpd00039_e': 0.00360864210240415, 'EX_cpd00011_e': 0.00360864210240415, 'EX_cpd00322_e': 0.00360864210240415, 'EX_cpd00111_e': 0.00360864210240415, 'EX_cpd00028_e': 0.00360864210240415, 'EX_cpd00066_e': 0.00360864210240415, 'EX_cpd01188_e': 0.00360864210240415, 'EX_cpd00357_e': 0.0036086421017618706, 'EX_cpd00136_e': 0.00360864210240415, 'EX_cpd03847_e': 0.00360864210240415, 'EX_cpd01080_e': 0.00360864210240415, 'EX_cpd03422_e': 0.00360864210240415, 'EX_cpd00010_e': 0.00360864210240415, 'EX_cpd00264_e': 0.00360864210240415, 'EX_cpd11606_e': 0.00360864210240415, 'EX_cpd00069_e': 0.00360864210240415, 'EX_cpd00060_e': 0.00360864210240415, 'EX_cpd00305_e': 0.00360864210240415}",,,
B. vulgatus_gapfilled_37,,,,"{'EX_cpd00635_e': 0.0036086421015790126, 'EX_cpd00023_e': 0.0036086421025958294, 'EX_cpd00224_e': 0.0036086421024075295, 'EX_cpd11595_e': 0.0036086421015790126, 'EX_cpd01217_e': 0.00360864210183667, 'EX_cpd00027_e': 0.0036086421015790126, 'EX_cpd01171_e': 0.0036086421015790126, 'EX_cpd00154_e': 0.0036086421016755387, 'EX_cpd08306_e': 0.0036086421015790126, 'EX_cpd00164_e': 0.0036086421015790126, 'EX_cpd00309_e': 0.003608642101549006, 'EX_cpd00280_e': 0.003608642101579015, 'EX_cpd00108_e': 0.003608642101579015, 'EX_cpd00159_e': 0.00360864210135334, 'EX_cpd00540_e': 0.003608642101579015, 'EX_cpd11597_e': 0.003608642101579015, 'EX_cpd08305_e': 0.003608642101579015, 'EX_cpd00396_e': 0.003608642101579015, 'EX_cpd00039_e': 0.003608642101579015, 'EX_cpd00011_e': 0.003608642101579015, 'EX_cpd00322_e': 0.003608642101579015, 'EX_cpd00111_e': 0.003608642101579015, 'EX_cpd00028_e': 0.003608642101579015, 'EX_cpd00066_e': 0.003608642101579015, 'EX_cpd01188_e': 0.003608642101579015, 'EX_cpd00357_e': 0.003608642101371373, 'EX_cpd00136_e': 0.003608642101579015, 'EX_cpd03847_e': 0.003608642101579015, 'EX_cpd01080_e': 0.003608642101579015, 'EX_cpd03422_e': 0.003608642101579015, 'EX_cpd00010_e': 0.003608642101579015, 'EX_cpd00264_e': 0.003608642101579015, 'EX_cpd11606_e': 0.003608642101579015, 'EX_cpd00069_e': 0.003608642101579015, 'EX_cpd00060_e': 0.003608642101579015, 'EX_cpd00305_e': 0.003608642101579015}",,,
B. vulgatus_gapfilled_38,,,,"{'EX_cpd00635_e': 0.003608642103175712, 'EX_cpd00023_e': 0.003608642103138694, 'EX_cpd00224_e': 0.0036086421026322382, 'EX_cpd11595_e': 0.003608642103175712, 'EX_cpd01217_e': 0.003608642103090617, 'EX_cpd00027_e': 0.003608642103250049, 'EX_cpd01171_e': 0.003608642103175712, 'EX_cpd00154_e': 0.003608642103239575, 'EX_cpd08306_e': 0.003608642103175712, 'EX_cpd00164_e': 0.003608642103175712, 'EX_cpd00309_e': 0.003608642102604608, 'EX_cpd00280_e': 0.003608642103175712, 'EX_cpd00108_e': 0.003608642103175712, 'EX_cpd00159_e': 0.0036086421023733464, 'EX_cpd00540_e': 0.003608642103175712, 'EX_cpd11597_e': 0.003608642103175712, 'EX_cpd08305_e': 0.003608642103175712, 'EX_cpd00396_e': 0.003608642103175712, 'EX_cpd00039_e': 0.003608642103175712, 'EX_cpd00011_e': 0.003608642103175712, 'EX_cpd00322_e': 0.003608642103175712, 'EX_cpd00111_e': 0.003608642103175712, 'EX_cpd00028_e': 0.003608642103175712, 'EX_cpd00066_e': 0.003608642103175712, 'EX_cpd01188_e': 0.003608642103175712, 'EX_cpd00357_e': 0.0036086421031352755, 'EX_cpd00136_e': 0.003608642103175712, 'EX_cpd03847_e': 0.003608642103175712, 'EX_cpd01080_e': 0.003608642103175712, 'EX_cpd03422_e': 0.003608642103175712, 'EX_cpd00010_e': 0.003608642103175712, 'EX_cpd00264_e': 0.003608642103175712, 'EX_cpd11606_e': 0.003608642103175712, 'EX_cpd00069_e': 0.003608642103175712, 'EX_cpd00060_e': 0.003608642103175712, 'EX_cpd00305_e': 0.003608642103175712}",,,
B. vulgatus_gapfilled_39,,,,"{'EX_cpd00635_e': 0.003608642091925036, 'EX_cpd00023_e': 0.0036086421011890415, 'EX_cpd00224_e': 0.0036086421001418037, 'EX_cpd11595_e': 0.003608642091925036, 'EX_cpd01217_e': 0.0036086421011890415, 'EX_cpd00027_e': 0.003608642098239179, 'EX_cpd01171_e': 0.003608642091925036, 'EX_cpd00154_e': 0.003608642091461074, 'EX_cpd08306_e': 0.003608642091925036, 'EX_cpd00164_e': 0.003608642091925036, 'EX_cpd00309_e': 0.003608642090818573, 'EX_cpd00280_e': 0.003608642091925036, 'EX_cpd00108_e': 0.003608642091925036, 'EX_cpd00159_e': 0.003608642079879071, 'EX_cpd00540_e': 0.003608642091925036, 'EX_cpd11597_e': 0.003608642091925036, 'EX_cpd08305_e': 0.003608642091925036, 'EX_cpd00396_e': 0.003608642091925036, 'EX_cpd00039_e': 0.003608642091925036, 'EX_cpd00011_e': 0.003608642091925036, 'EX_cpd00322_e': 0.003608642091925036, 'EX_cpd00111_e': 0.003608642091925036, 'EX_cpd00028_e': 0.003608642091925036, 'EX_cpd00066_e': 0.003608642091925036, 'EX_cpd01188_e': 0.003608642091925036, 'EX_cpd00357_e': 0.003608642091051262, 'EX_cpd00136_e': 0.003608642091925036, 'EX_cpd03847_e': 0.003608642091925036, 'EX_cpd01080_e': 0.003608642091925036, 'EX_cpd03422_e': 0.003608642091925036, 'EX_cpd00010_e': 0.003608642091925036, 'EX_cpd00264_e': 0.003608642091925036, 'EX_cpd11606_e': 0.003608642091925036, 'EX_cpd00069_e': 0.003608642091925036, 'EX_cpd00060_e': 0.003608642091925036, 'EX_cpd00305_e': 0.003608642091925036}",,,
B. vulgatus_gapfilled_40,,,,"{'EX_cpd00635_e': 0.0036086421015888736, 'EX_cpd00023_e': 0.003608642101571119, 'EX_cpd00224_e': 0.0036086421015650324, 'EX_cpd11595_e': 0.0036086421015888736, 'EX_cpd01217_e': 0.0036086421015707687, 'EX_cpd00027_e': 0.003608642101690539, 'EX_cpd01171_e': 0.0036086421015888736, 'EX_cpd00154_e': 0.003608642101498059, 'EX_cpd08306_e': 0.0036086421015888736, 'EX_cpd00164_e': 0.0036086421015888736, 'EX_cpd00309_e': 0.003608642101674849, 'EX_cpd00280_e': 0.0036086421015888736, 'EX_cpd00108_e': 0.0036086421015888736, 'EX_cpd00159_e': 0.003608642101442031, 'EX_cpd00540_e': 0.0036086421015888736, 'EX_cpd11597_e': 0.0036086421015888736, 'EX_cpd08305_e': 0.0036086421015888736, 'EX_cpd00396_e': 0.0036086421015888736, 'EX_cpd00039_e': 0.0036086421015888736, 'EX_cpd00011_e': 0.0036086421015888736, 'EX_cpd00322_e': 0.0036086421015888736, 'EX_cpd00111_e': 0.0036086421015888736, 'EX_cpd00028_e': 0.0036086421015888736, 'EX_cpd00066_e': 0.0036086421015888736, 'EX_cpd01188_e': 0.0036086421015888736, 'EX_cpd00357_e': 0.0036086421016442902, 'EX_cpd00136_e': 0.0036086421015888736, 'EX_cpd03847_e': 0.0036086421015888736, 'EX_cpd01080_e': 0.0036086421015888736, 'EX_cpd03422_e': 0.0036086421015888736, 'EX_cpd00010_e': 0.0036086421015888736, 'EX_cpd00264_e': 0.0036086421015888736, 'EX_cpd11606_e': 0.0036086421015888736, 'EX_cpd00069_e': 0.0036086421015888736, 'EX_cpd00060_e': 0.0036086421015888736, 'EX_cpd00305_e': 0.0036086421015888736}",,,
B. vulgatus_gapfilled_41,,,,"{'EX_cpd00635_e': 0.0036086421017176252, 'EX_cpd00023_e': 0.003608642101691366, 'EX_cpd00224_e': 0.0036086421017240927, 'EX_cpd11595_e': 0.0036086421017176252, 'EX_cpd01217_e': 0.003608642101691372, 'EX_cpd00027_e': 0.003608642101641633, 'EX_cpd01171_e': 0.003608642101560967, 'EX_cpd00154_e': 0.003608642101644766, 'EX_cpd08306_e': 0.003608642101560967, 'EX_cpd00164_e': 0.003608642101560967, 'EX_cpd00309_e': 0.0036086421014278856, 'EX_cpd00280_e': 0.003608642101560967, 'EX_cpd00108_e': 0.003608642101560967, 'EX_cpd00159_e': 0.003608642101691357, 'EX_cpd00540_e': 0.003608642101560967, 'EX_cpd11597_e': 0.003608642101560967, 'EX_cpd08305_e': 0.003608642101560967, 'EX_cpd00396_e': 0.003608642101560967, 'EX_cpd00039_e': 0.003608642101560967, 'EX_cpd00011_e': 0.003608642101560967, 'EX_cpd00322_e': 0.003608642101560967, 'EX_cpd00111_e': 0.003608642101560967, 'EX_cpd00028_e': 0.003608642101560967, 'EX_cpd00066_e': 0.003608642101560967, 'EX_cpd01188_e': 0.003608642101560967, 'EX_cpd00357_e': 0.003608642101691357, 'EX_cpd00136_e': 0.003608642101560967, 'EX_cpd03847_e': 0.003608642101560967, 'EX_cpd01080_e': 0.003608642101560967, 'EX_cpd03422_e': 0.003608642101560967, 'EX_cpd00010_e': 0.003608642101560967, 'EX_cpd00264_e': 0.003608642101560967, 'EX_cpd11606_e': 0.003608642101560967, 'EX_cpd00069_e': 0.003608642101560967, 'EX_cpd00060_e': 0.003608642101560967, 'EX_cpd00305_e': 0.003608642101560967}",,,
B. vulgatus_gapfilled_42,,,,"{'EX_cpd00635_e': 0.00348481134745943, 'EX_cpd00023_e': 0.003484811347329964, 'EX_cpd00224_e': 0.003484811347377823, 'EX_cpd11595_e': 0.00348481134745943, 'EX_cpd01217_e': 0.0034848113473184925, 'EX_cpd00027_e': 0.0034848113474454656, 'EX_cpd01171_e': 0.00348481134745943, 'EX_cpd00154_e': 0.003484811347465125, 'EX_cpd08306_e': 0.00348481134745943, 'EX_cpd00164_e': 0.00348481134745943, 'EX_cpd00309_e': 0.003484811347460812, 'EX_cpd00280_e': 0.00348481134745943, 'EX_cpd00108_e': 0.00348481134745943, 'EX_cpd00159_e': 0.00348481134751749, 'EX_cpd00540_e': 0.00348481134745943, 'EX_cpd11597_e': 0.00348481134745943, 'EX_cpd08305_e': 0.00348481134745943, 'EX_cpd00396_e': 0.00348481134745943, 'EX_cpd00039_e': 0.00348481134745943, 'EX_cpd00011_e': 0.00348481134745943, 'EX_cpd00322_e': 0.00348481134745943, 'EX_cpd00111_e': 0.00348481134745943, 'EX_cpd00028_e': 0.00348481134745943, 'EX_cpd00066_e': 0.00348481134745943, 'EX_cpd01188_e': 0.00348481134745943, 'EX_cpd00357_e': 0.0034848113476100935, 'EX_cpd00136_e': 0.00348481134745943, 'EX_cpd03847_e': 0.00348481134745943, 'EX_cpd01080_e': 0.00348481134745943, 'EX_cpd03422_e': 0.00348481134745943, 'EX_cpd00010_e': 0.00348481134745943, 'EX_cpd00264_e': 0.00348481134745943, 'EX_cpd11606_e': 0.00348481134745943, 'EX_cpd00069_e': 0.00348481134745943, 'EX_cpd00060_e': 0.00348481134745943, 'EX_cpd00305_e': 0.00348481134745943}",,,
B. vulgatus_gapfilled_43,,,,"{'EX_cpd00635_e': 0.003608642101923575, 'EX_cpd00023_e': 0.003608642101982772, 'EX_cpd00224_e': 0.003608642101549833, 'EX_cpd11595_e': 0.003608642101923575, 'EX_cpd01217_e': 0.003608642101960243, 'EX_cpd00027_e': 0.003608642101720834, 'EX_cpd01171_e': 0.003608642101923575, 'EX_cpd00154_e': 0.0036086421018330017, 'EX_cpd08306_e': 0.003608642101923575, 'EX_cpd00164_e': 0.003608642101923575, 'EX_cpd00309_e': 0.003608642101838186, 'EX_cpd00280_e': 0.003608642101923575, 'EX_cpd00108_e': 0.003608642101923575, 'EX_cpd00159_e': 0.003608642100873253, 'EX_cpd00540_e': 0.003608642101923575, 'EX_cpd11597_e': 0.003608642101923575, 'EX_cpd08305_e': 0.003608642101923575, 'EX_cpd00396_e': 0.003608642101923575, 'EX_cpd00039_e': 0.003608642101923575, 'EX_cpd00011_e': 0.003608642101923575, 'EX_cpd00322_e': 0.003608642101923575, 'EX_cpd00111_e': 0.003608642101923575, 'EX_cpd00028_e': 0.003608642101923575, 'EX_cpd00066_e': 0.003608642101923575, 'EX_cpd01188_e': 0.003608642101923575, 'EX_cpd00357_e': 0.003608642101904701, 'EX_cpd00136_e': 0.003608642101923575, 'EX_cpd03847_e': 0.003608642101923575, 'EX_cpd01080_e': 0.003608642101923575, 'EX_cpd03422_e': 0.003608642101923575, 'EX_cpd00010_e': 0.003608642101923575, 'EX_cpd00264_e': 0.003608642101923575, 'EX_cpd11606_e': 0.003608642101923575, 'EX_cpd00069_e': 0.003608642101923575, 'EX_cpd00060_e': 0.003608642101923575, 'EX_cpd00305_e': 0.003608642101923575}",,,
B. vulgatus_gapfilled_44,,,,"{'EX_cpd00635_e': 0.0036094959352293327, 'EX_cpd00023_e': 0.0036094959351498333, 'EX_cpd00224_e': 0.003609495935127405, 'EX_cpd11595_e': 0.0036094959352293327, 'EX_cpd01217_e': 0.0036094959351136036, 'EX_cpd00027_e': 0.003609495935173177, 'EX_cpd01171_e': 0.0036094959352293327, 'EX_cpd00154_e': 0.003609495935308267, 'EX_cpd08306_e': 0.0036094959352293327, 'EX_cpd00164_e': 0.0036094959352293327, 'EX_cpd00309_e': 0.0036094959352643095, 'EX_cpd00280_e': 0.0036094959352293327, 'EX_cpd00108_e': 0.0036094959352293327, 'EX_cpd00159_e': 0.003609495935229639, 'EX_cpd00540_e': 0.0036094959352293327, 'EX_cpd11597_e': 0.0036094959352293327, 'EX_cpd08305_e': 0.0036094959352293327, 'EX_cpd00396_e': 0.0036094959352293327, 'EX_cpd00039_e': 0.0036094959352293327, 'EX_cpd00011_e': 0.0036094959352293327, 'EX_cpd00322_e': 0.0036094959352293327, 'EX_cpd00111_e': 0.0036094959352293327, 'EX_cpd00028_e': 0.0036094959352293327, 'EX_cpd00066_e': 0.0036094959352293327, 'EX_cpd01188_e': 0.0036094959352293327, 'EX_cpd00357_e': 0.0036094959352293327, 'EX_cpd00136_e': 0.0036094959352293327, 'EX_cpd03847_e': 0.0036094959352293327, 'EX_cpd01080_e': 0.0036094959352293327, 'EX_cpd03422_e': 0.0036094959352293327, 'EX_cpd00010_e': 0.0036094959352293327, 'EX_cpd00264_e': 0.0036094959352293327, 'EX_cpd11606_e': 0.0036094959352293327, 'EX_cpd00069_e': 0.0036094959352293327, 'EX_cpd00060_e': 0.0036094959352293327, 'EX_cpd00305_e': 0.0036094959352293327}",,,
B. vulgatus_gapfilled_45,,,,"{'EX_cpd00635_e': 0.003608642101173037, 'EX_cpd00023_e': 0.003608642101656515, 'EX_cpd00224_e': 0.0036086421022424897, 'EX_cpd11595_e': 0.003608642101173037, 'EX_cpd01217_e': 0.003608642100882084, 'EX_cpd00027_e': 0.003608642102558983, 'EX_cpd01171_e': 0.003608642101173037, 'EX_cpd00154_e': 0.003608642101757449, 'EX_cpd08306_e': 0.003608642101173037, 'EX_cpd00164_e': 0.003608642101173037, 'EX_cpd00309_e': 0.0036086421010781636, 'EX_cpd00280_e': 0.003608642101173037, 'EX_cpd00108_e': 0.003608642101173037, 'EX_cpd00159_e': 0.003608642101236371, 'EX_cpd00540_e': 0.003608642101173037, 'EX_cpd11597_e': 0.003608642101173037, 'EX_cpd08305_e': 0.003608642101173037, 'EX_cpd00396_e': 0.003608642101173037, 'EX_cpd00039_e': 0.003608642101173037, 'EX_cpd00011_e': 0.003608642101173037, 'EX_cpd00322_e': 0.003608642101173037, 'EX_cpd00111_e': 0.003608642101173037, 'EX_cpd00028_e': 0.003608642101173037, 'EX_cpd00066_e': 0.003608642101173037, 'EX_cpd01188_e': 0.003608642101173037, 'EX_cpd00357_e': 0.003608642101173037, 'EX_cpd00136_e': 0.003608642101173037, 'EX_cpd03847_e': 0.003608642101173037, 'EX_cpd01080_e': 0.003608642101173037, 'EX_cpd03422_e': 0.003608642101173037, 'EX_cpd00010_e': 0.003608642101173037, 'EX_cpd00264_e': 0.003608642101173037, 'EX_cpd11606_e': 0.003608642101173037, 'EX_cpd00069_e': 0.003608642101173037, 'EX_cpd00060_e': 0.003608642101173037, 'EX_cpd00305_e': 0.003608642101173037}",,,
B. vulgatus_gapfilled_46,,,,"{'EX_cpd00635_e': 0.0036086421019455926, 'EX_cpd00023_e': 0.0036086421012153577, 'EX_cpd00224_e': 0.0036086421015226787, 'EX_cpd11595_e': 0.0036086421019455926, 'EX_cpd01217_e': 0.003608642101001805, 'EX_cpd00027_e': 0.0036086421019455926, 'EX_cpd01171_e': 0.0036086421019455926, 'EX_cpd00154_e': 0.0036086421019455926, 'EX_cpd08306_e': 0.0036086421019455926, 'EX_cpd00164_e': 0.0036086421019455926, 'EX_cpd00309_e': 0.0036086421019455926, 'EX_cpd00280_e': 0.0036086421019455926, 'EX_cpd00108_e': 0.0036086421019455926, 'EX_cpd00159_e': 0.00360864210143778, 'EX_cpd00540_e': 0.0036086421019455926, 'EX_cpd11597_e': 0.0036086421019455926, 'EX_cpd08305_e': 0.0036086421019455926, 'EX_cpd00396_e': 0.0036086421019455926, 'EX_cpd00039_e': 0.0036086421019455926, 'EX_cpd00011_e': 0.0036086421019455926, 'EX_cpd00322_e': 0.0036086421019455926, 'EX_cpd00111_e': 0.0036086421019455926, 'EX_cpd00028_e': 0.0036086421019455926, 'EX_cpd00066_e': 0.0036086421019455926, 'EX_cpd01188_e': 0.0036086421019455926, 'EX_cpd00357_e': 0.0036086421012943106, 'EX_cpd00136_e': 0.0036086421019455926, 'EX_cpd03847_e': 0.0036086421019455926, 'EX_cpd01080_e': 0.0036086421019455926, 'EX_cpd03422_e': 0.0036086421019455926, 'EX_cpd00010_e': 0.0036086421019455926, 'EX_cpd00264_e': 0.0036086421019455926, 'EX_cpd11606_e': 0.0036086421019455926, 'EX_cpd00069_e': 0.0036086421019455926, 'EX_cpd00060_e': 0.0036086421019455926, 'EX_cpd00305_e': 0.0036086421019455926}",,,
B. vulgatus_gapfilled_47,,,,"{'EX_cpd00635_e': 0.003608642102041396, 'EX_cpd00023_e': 0.0036086421025830246, 'EX_cpd00224_e': 0.003608642102530346, 'EX_cpd11595_e': 0.003608642102041396, 'EX_cpd01217_e': 0.003608642102721328, 'EX_cpd00027_e': 0.0036086421028908226, 'EX_cpd01171_e': 0.003608642102041396, 'EX_cpd00154_e': 0.003608642102067326, 'EX_cpd08306_e': 0.003608642102041396, 'EX_cpd00164_e': 0.003608642102041396, 'EX_cpd00309_e': 0.0036086421024659815, 'EX_cpd00280_e': 0.003608642102041396, 'EX_cpd00108_e': 0.003608642102041396, 'EX_cpd00159_e': 0.00360864210286322, 'EX_cpd00540_e': 0.003608642102041396, 'EX_cpd11597_e': 0.003608642102041396, 'EX_cpd08305_e': 0.003608642102041396, 'EX_cpd00396_e': 0.003608642102041396, 'EX_cpd00039_e': 0.003608642102041396, 'EX_cpd00011_e': 0.003608642102041396, 'EX_cpd00322_e': 0.003608642102041396, 'EX_cpd00111_e': 0.003608642102041396, 'EX_cpd00028_e': 0.003608642102041396, 'EX_cpd00066_e': 0.003608642102041396, 'EX_cpd01188_e': 0.003608642102041396, 'EX_cpd00357_e': 0.0036086421020259285, 'EX_cpd00136_e': 0.003608642102041396, 'EX_cpd03847_e': 0.003608642102041396, 'EX_cpd01080_e': 0.003608642102041396, 'EX_cpd03422_e': 0.003608642102041396, 'EX_cpd00010_e': 0.003608642102041396, 'EX_cpd00264_e': 0.003608642102041396, 'EX_cpd11606_e': 0.003608642102041396, 'EX_cpd00069_e': 0.003608642102041396, 'EX_cpd00060_e': 0.003608642102041396, 'EX_cpd00305_e': 0.003608642102041396}",,,
